artists_id,acousticness,danceability,disc_number,duration_ms,energy,href,id,instrumentalness,key,liveness,loudness,lyrics,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_href,uri,valence,release_date,artists_name,genres,release_year
68WwJXWrpo1yVOOIZjLSeT,0.0268,0.506,1.0,248777.0,0.741,https://api.spotify.com/v1/tracks/0UATU9OJxh4m3fwDljdGZn,0UATU9OJxh4m3fwDljdGZn,2.67e-05,1.0,0.121,-4.724,"

Wake up, get paid
'Nother dollar, 'nother day
Go and throw it all away
On Cartier
Creme de la creme
Put my faith in the fun
It's a ritual I live
Tonic and gin

I've been seeing saints holding hands
And my God is trans
And everyone feels alive
And I like to do what's in Vogue
Not what I've been told
Cross my heart and hope to die

Maybe I overcompensate
Call it my naïveté
But I don't wanna go through the motions
Maybe I put it on display
Say some things I shouldn't say
'Cause I don't wanna go through the motions
I don't wanna go through the motions

And I'm not sure
Of anything but couture
And you can say ""c'est la amour""
What I live for
It's all first class
When I'm burning through the cash
When the jet starts to crash
Beautiful trash

I've been seeing saints holding hands
And my God is trans
And everyone feels alive
And I like to do what's in Vogue
Not what I've been told
Cross my heart and hope to die

Maybe I overcompensate
Call it my naïveté
But I don't wanna go through the motions
Maybe I put it on display
Say some things I shouldn't say
'Cause I don't wanna go through the motions
I don't wanna go through the motions
I don't wanna go through the motions

It's all Chanel, go straight to hell
I wish you well, I kiss and tell
My soul to sell 'cause I don't wanna go through the motions
Yves Saint Laurent, do what you want
Light cigarettes and restaurants
I preach it wrong
'Cause I don't wanna go through the motions

Maybe I overcompensate
Call it my naïveté
But I don't wanna go through the motions
Maybe I put it on display
Say some things I shouldn't say
'Cause I don't wanna go through the motions
I don't wanna go through the motions
I don't wanna go through the motions
",1.0,Creme de la creme,Hipsteribrunssi,40.0,https://p.scdn.co/mp3-preview/79a2dd3aa8a9326cdc22a95e8d9dc2f24756db68?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0349,94.042,4.0,https://api.spotify.com/v1/tracks/0UATU9OJxh4m3fwDljdGZn,0UATU9OJxh4m3fwDljdGZn,0.236,2018-09-28,Evalyn,"['electropop', 'indie electro-pop', 'indie poptimism', 'vapor soul']",2018.0
09xj0S68Y1OU1vHMCZAIvz,0.505,0.487,1.0,171573.0,0.297,https://api.spotify.com/v1/tracks/4JH1M62gVDNDhDAUiQB3Qv,4JH1M62gVDNDhDAUiQB3Qv,5.22e-05,11.0,0.0916,-11.445,"
Dame la muerte chiquita
Dame la muerte pequeña
Y así tal vez en tus brazos alcanzaré gracia plena
Su esencia de alta marea
Sus besos de tamarindo
Sus pestañas dos palmeras a cuyo vaivén me rindo
Dicen que usted trae las sombras
Y por dentro está toda herida
Dame la muerte chiquita
Antes del último sueño
Una cosa a Dios yo pido un segundo ser su dueño
La venganza es cosa dulce
Y este machete que tengo
Es por si alguien le hizo daño que yo por usted me muero
Es por si alguien le hizo daño
Que yo por usted...
Dicen que usted trae las sombras
Y por dentro está toda herida
Por una noche en su lecho
Soy capaz de dar la vida
",0.0,La muerte chiquita,Día de Muertos,41.0,https://p.scdn.co/mp3-preview/92ee198a7192f17980bbef3c7864d6766949a1e9?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0915,185.912,3.0,https://api.spotify.com/v1/tracks/4JH1M62gVDNDhDAUiQB3Qv,4JH1M62gVDNDhDAUiQB3Qv,0.289,2001-08-21,Café Tacvba,"['latin', 'latin alternative', 'latin rock', 'mexican rock', 'rock en espanol']",2001.0
7slfeZO9LsJbWgpkIoXBUJ,0.406,0.59,1.0,279000.0,0.597,https://api.spotify.com/v1/tracks/4S1bYWrLOC8smuy8kJzxKQ,4S1bYWrLOC8smuy8kJzxKQ,2.28e-05,9.0,0.169,-6.158,"
Traigo en los bolsillos tanta soledad
Desde que te fuiste no me queda mas
Que una foto gris y un triste sentimiento
Lo que mas lastima es tanta confusion
En cada resquicio de mi corazon
Como hacerte a un lado de mis pensamientos
Por ti, por ti, por ti
He dejado todo sin mirar atras
Aposte la vida y me deje ganar
Te extrao porque vive en mi tu recuerdo te olvido
A cada minuto lo intento te amo es que ya no tengo remedio
Te extrao, te olvido y te amo de nuevo
Te extrao porque vive en mi tu recuerdo te olvido
A cada minuto lo intento te amo es que ya no tengo remedio
Te extrao, te olvido y te amo de nuevo
He perdido todo, hasta la identidad
Y si lo pidieras mas podria dar
Es que cuando se ama, nada es demasiado
Me enseaste el limite da la pasion
Y no me enseaste a decir adios
He aprendido ahora que te has marchado
Por ti, por ti, por ti
He dejado todo sin mirar atras
Aposte la vida y me deje ganar
Te extrao porque vive en mi tu recuerdo te olvido
A cada minuto lo intento te amo es que ya no tengo remedio
Te extrao, te olvido Y te amo de nuevo
",1.0,"Te Extraño, Te Olvido, Te Amo",Radio Corazón,62.0,https://p.scdn.co/mp3-preview/0ab2bbce1d5fd57b1998321a2361572c7e8903e5?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0275,121.051,4.0,https://api.spotify.com/v1/tracks/4S1bYWrLOC8smuy8kJzxKQ,4S1bYWrLOC8smuy8kJzxKQ,0.466,1995-09-12,Ricky Martin,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",1995.0
09hVIj6vWgoCDtT03h8ZCa,0.198,0.674,1.0,260000.0,0.582,https://api.spotify.com/v1/tracks/5id38dZomKgo2h4ccxTyzT,5id38dZomKgo2h4ccxTyzT,0.0004,0.0,0.23,-16.658,"

Woo...grand groove, grand groove
Woo...grand groove, grand groove

Rough, rough, rugged
Tough like a nugget
Listen to The Abstract Poetic, don't snub it
The midnight marauder is the hype beat arranger
Don't front on my lyrics or the tool 'cause it's danger
Hook you like a junkie, you'll flip like a monkey
To the openness of the rhythm, so proceed because I'm funky
I get down, down like a fly hooker's panties
Make you catch a spirit and motivate a fanny
I be the fly poet, rappers, they get jelly
Upset when I rock, 'cause yo, they rhymes is smelly
See, I got it going on like a Forbes tax return
Listening to these lyrics when it's hot will make it burn
Baby burn, baby burn, up into the heavens
The skies up above, the one you think of
Is the highly regarded, hell of the people
Your mic and my mic? Come on, yo, no equal (Word!)
So if ya wanna do it to yourself
That is to mess around with the jazz, then just blame yourself
'Cause you made your bed, so now you lay in it
That's your shit on the floor, then go and play in it
I refuse to catch a 'L' in a battle
'Cause yo, I got the jazz and I'll whup a rapper's ass
Into little next to nuthin'
Test me if I'm frontin'
I'll pass with flying colors 'cause yo, I am that brotha that can rock

Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
We've got the jazz, we've got the jazz, come on
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
We've got the jazz
Come on, come on, Phife

No need for introductions 'cause you know who I be
(The Phife Dawg) Yep, the one who loves to slaugher MC's
I got style, grace and razamatazz
I'm like my girl Patrice Rushen, yo, I add pizzazz, now
Most people remember Phife from the Phife like smoothness
But now it's time to hit you with roughneck rudeness
I'm still vexed, fuming, gots to come raw
The first punk that tries to flex, I'll be cracking your jaw
I'll mold you, fold you, roll you up like a spliff
Don't ever try for test or else that ass will get whipped
I'm forever poppin' junk, it's like a fat invite
To any MC who wants to flex, yo, we can do this tonight
Gel up my posse up on Linden and 1-9-2
Pull up my brothas from Sayers Ave., the Brooklyn Zoo
All my crew up in Strong Island, so yo, don't sleep
'Cause it only takes a beat to watch that ass get beat
Brothas wanna play rough, but they can all get some
Wanna be hero, but you're a zero, that means you gets none
Don't ever try to step to a kid you can't get with
Why mess with a brotha that your girl once slept with?
I'm a negro, he's a negro, wanna be a negro too?
But beatin' on a girl, is somethin' that a puss' would do
I love jazz, but that doesn't mean that I'm timid
Not really a gangsta rapper but I can swing it for a minute

Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Come on
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
We got the jazz, we got the jazz, come on

I go...woo..., ha-ha-ha-ha-ha, grand groove, grand groove
Yeah, and it's the beat
Ah baby, ah baby, ah baby, ah baby
Go ooh...ha-ha-ha-ha-ha...grand groove, grand groove
Yeah, and it's the beat
Check it out
We got the jazz, y'all
We got the jazz, y'all
We got the jazz, y'all
Tear it up, y'all
1, 2, y'all
Tear it up, y'all
We got the jazz, y'all
Check it out, y'all
(ad lib)
",1.0,Jazz (We've Got) - Re-Recording,This Is A Tribe Called Quest,35.0,https://p.scdn.co/mp3-preview/fd11a243b6ca78e84c4f303bfcbbd4799d3b3226?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.23,92.65,4.0,https://api.spotify.com/v1/tracks/5id38dZomKgo2h4ccxTyzT,5id38dZomKgo2h4ccxTyzT,0.69,1992-06-01,A Tribe Called Quest,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'pop rap', 'rap']",1992.0
09hVIj6vWgoCDtT03h8ZCa,0.0431,0.887,1.0,239880.0,0.434,https://api.spotify.com/v1/tracks/0tzssbEHymtRq4Nf1wSyQv,0tzssbEHymtRq4Nf1wSyQv,0.0,10.0,0.229,-10.444,"

All we want in this life
Is peace, prosperity and a little paper
Objects, they seem greater
But I'm sure we overcome when we illin' on a drum

We in a world that places heavy emphasis on money synthesis
Y'all can be my witnesses
That a fella fascination with money has grown
To the point that he will shit on his own
We got to have it y'all, its not a Spike Lee cinematic
A piece of paper making niggas get dramatic
But the money doesn't come automatic
Gotta motivate ourselves to go and grab it
We got to get it y'all, in an orderly fashion
Some cats go about it with too much passion
We got to mediate our greedy levels
'Cause the lust of currency can have us sleepin with the devil
Gotta recognize it, realize the power
That this little ma-huckin piece of paper will devour
Man can be greater than the thing he creates
See, I'mma do my thing and see how much I can scrape
Yo, I'd rather have respect than money, no doubt
But listen to me y'all, I want the mass amount
That the Sesame Street Dracula can't Count
So that I can give my people when that thing surmounts
To higher levels.. of being.. so when I'm MC-ing
I hope to see you there steady G-ing (say word)
But the only way we can truly reach that goal
Is finding true inner peace and prospering souls
It's like that


Here comes your royal highness, one of Queens finest
Believe me, honest, you know you can't stop it
Come on son, never leave your mic 'round me
True MC for real, ask my man Shaheed
Strictly focused on what I'm in this rap game for
Not for fame and screwing every whore after whore
With all that AIDS stuff going round
Tell me how that sound
Rather hit the studio and hear some beats that pound
Now, don't get me wrong, I love honeys galore
But see hip-hop's my bread and butter
'Cause that's what I get paid for
See this is what I wanted, Allah helped me to get it
And if the beat is wicked, you know Malik will rip it
From the bottom of my heart, that's where the love starts
The love for breakdancing, my love for the art
And with this love I do hip-hop from the soul
A real MC, who never sweats how many copies are sold
Yeah, I want to go gold, platinum, uh-huh, etcetera
But why put out some wackness when no one will respect ya?
I'm staying true, nuff respect to those that paved the way
From Bambaataa down to Shah; that be my DJ
Without my peeps I don't know how the hell I'd make it, word
Sometimes I feel that my career is headed for the curb
One love for lending hand and giving all your help
Believing in me when I didn't believe in my own self
The Abstract with whom I'm always making rugged tunes
Kid Hood resting in heaven, I hope to see you soon
I keep things hot and this year they're even hotter
Big Mu and Shah, one day I'll take my shahada
Out
",0.0,"Peace, Prosperity & Paper",This Is A Tribe Called Quest,36.0,https://p.scdn.co/mp3-preview/7f11540a059fb438c707f5c497d273351e7df443?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.333,92.023,4.0,https://api.spotify.com/v1/tracks/0tzssbEHymtRq4Nf1wSyQv,0tzssbEHymtRq4Nf1wSyQv,0.825,2003-06-17,A Tribe Called Quest,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'pop rap', 'rap']",2003.0
4tNxq9NGKTKaX8OkZBLgf0,0.00131,0.403,1.0,363867.0,0.925,https://api.spotify.com/v1/tracks/7xkwcX1dsnpT8d1Cu8SBFH,7xkwcX1dsnpT8d1Cu8SBFH,0.796,10.0,0.111,-7.744,-99,0.0,I'm For Real,90s House Classics,22.0,https://p.scdn.co/mp3-preview/cf7604a2dba830467dd4aa62a8fd43fa11829676?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.109,190.528,3.0,https://api.spotify.com/v1/tracks/7xkwcX1dsnpT8d1Cu8SBFH,7xkwcX1dsnpT8d1Cu8SBFH,0.327,1990-10-08,Nightmares On Wax,"['acid jazz', 'downtempo', 'electronic', 'nu jazz', 'trip hop']",1990.0
58MLl9nC29IXbE4nEtuoP2,0.746,0.5,1.0,185200.0,0.292,https://api.spotify.com/v1/tracks/6soW9pvcXoYrnyVmTC9ErH,6soW9pvcXoYrnyVmTC9ErH,0.0,0.0,0.188,-8.554,"

It's been a minute since I called you
Just to hear the answerphone
Yeah, I know that you won't get this
But I'll leave a message so I'm not alone
This morning I woke up still dreaming
With memories playing through my head
You'll never know how much I miss you
The day that they took you, I wish it was me instead

But you once told me, ""Don't give up
You can do it day by day""
And diamonds, they don't turn to dust or fade away

So I will keep you, day and night, here until the day I die
I'll be living one life for the two of us
I will be the best of me, always keep you next to me
I'll be living one life for the two of us
Even when I'm on my own, I know I won't be alone
Tattooed on my heart are the words of your favourite song
I know you'll be looking down, swear I'm gonna make you proud
I'll be living one life for the two of us

I could feel your blood run through me
You're written in my DNA
Looking back in every mirror
I know you'll be waiting, I'll see you again

But you once told me, ""Don't give up
You can do it day by day""
And diamonds, they don't turn to dust or fade away (Fade away)

So I will keep you, day and night, here until the day I die
I'll be living one life for the two of us
I will be the best of me, always keep you next to me
I'll be living one life for the two of us
Even when I'm on my own, I know I won't be alone
Tattooed on my heart are the words of your favourite song
I know you'll be looking down, swear I'm gonna make you proud
I'll be living one life for the two of us

I promised you I'd do this
So all of this is all for you
Oh, I swear to God you're living
Through everything I'll ever do

So I will keep you, day and night, here until the day I die
I'll be living one life for the two of us
I will be the best of me, always keep you next to me
I'll be living one life for the two of us
Even when I'm on my own, I know I won't be alone
Tattooed on my heart are the words of your favourite song
I know you'll be looking down, swear I'm gonna make you proud
I'll be living one life for the two of us

One life for the two of us
I'll be living one life for the two of us

We'll end just like we started
Just you and me and no one else
I will hold you where my heart is
One life for the two of us
",1.0,Little Do You Know,Chillout Session,63.0,https://p.scdn.co/mp3-preview/8ef3d9b2e67d48f3d7f5074a99762c56a959aacc?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0323,145.879,4.0,https://api.spotify.com/v1/tracks/6soW9pvcXoYrnyVmTC9ErH,6soW9pvcXoYrnyVmTC9ErH,0.37,2014,Alex & Sierra,"['australian pop', 'dance pop', 'indie cafe pop', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']",2014.0
4iudEcmuPlYNdbP3e1bdn1,0.0378,0.353,1.0,240733.0,0.464,https://api.spotify.com/v1/tracks/7Bz8EMztiuSJeHIjrBw7pw,7Bz8EMztiuSJeHIjrBw7pw,0.000969,7.0,0.0944,-8.543,"

Millionaire say, got a big shot deal
And thrown it all away, but
But I'm not too sure how I'm supposed to feel
Or what I'm supposed to say, but

I'm not, not sure
Not too sure how it feels
To handle everyday

And I miss you, love

Make room for the prey
'Cause I'm coming in with what I want to say, but
It's gonna hurt
And I love the pain
A breeding ground for hate, but

I'm not, not sure
Not too sure how it feels
To handle every day
Like the one that just passed
In the crowds of all the people

Remember today
I've no respect for you

And I miss you, love
And I miss you, love

I love the way you love
But I hate the way I'm supposed to love you back
And it's just a fad part of the teen, teenage angst brigade, and

I'm not, not sure
Not too sure how it feels
To handle every day
Like the one that just passed
In the crowds of all the people

Remember today
I've no respect for you

And I miss you, love
And I miss you, love

Remember today
I've no respect for you

And I miss you, love
And I miss you

I love the way you love
But I hate the way I'm supposed to love you back
",1.0,Miss You Love,Las Canciones Más Bonitas Del Mundo,60.0,https://p.scdn.co/mp3-preview/0438d2121928408a03e99a73381ee0514527a25f?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0272,144.222,3.0,https://api.spotify.com/v1/tracks/7Bz8EMztiuSJeHIjrBw7pw,7Bz8EMztiuSJeHIjrBw7pw,0.148,1999-01-23,Silverchair,"['alternative metal', 'alternative rock', 'australian alternative rock', 'australian psych', 'grunge', 'nu metal', 'pop rock', 'post-grunge', 'rock']",1999.0
56oDRnqbIiwx4mymNEv7dS,0.0195,0.634,1.0,197429.0,0.964,https://api.spotify.com/v1/tracks/0cdWNnS1h92fLcrKQzKaM6,0cdWNnS1h92fLcrKQzKaM6,0.0,1.0,0.188,-1.108,"

Oh, here it goes

I feel like fire, I feel like rain
I can take you higher, but you gotta earn it

Woo, I'm lit, don't mess with it
Woo, stand back, let me do my shit
Woo, I'm lit, don't mess with it, woo

Hands to the sky, show me that you're mine
Hands to the sky, show me that you're mine
And baby, worship me
Worship me
On your knees
Patiently, quietly, faithfully, worship me

Feel that lightning down in my soul
And if you wanna feel the thunder, baby
Better let me know
Let me know

Woo, I'm lit, don't mess with it
Woo, stand back, let me do my shit
Woo, I'm lit, don't mess with it

Hands to the sky, show me that you're mine
Hands to the sky, show me that you're mine
And baby, worship me
Worship me (uh-huh)
On your knees
Patiently, quietly, faithfully, worship me

Oh, here it goes, okay
Stop and smell my roses, posies
Appreciate my poses, they know
I'ma fanfare like the star-spangled
I would say can you see my angles
'Cause I'm hotter than the, I'm hotter than the stovetop
You can put your kettle on, but I'ma make the thing pop
No, I ain't talkin' 'bout my word, just my work
You can add it all up while I'm beefin' up my purse

Hands to the sky, show me that you're mine
(Make me believe it)
Hands to the sky, show me that you're mine
(Oh, yeah)
And baby, worship me (worship me)
Worship me (get it together, make it feel good)
On your knees
Patiently, quietly, faithfully, worship me
",1.0,Stayin' Alive (from Happy Death Day 2U),This Is Lizzo,48.0,https://p.scdn.co/mp3-preview/5d9b37ca15bedf7073f1a8515c10988f184f407d?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0469,111.139,4.0,https://api.spotify.com/v1/tracks/0cdWNnS1h92fLcrKQzKaM6,0cdWNnS1h92fLcrKQzKaM6,0.917,2019-01-02,Lizzo,"['dance pop', 'electropop', 'escape room', 'pop', 'r&b', 'trap queen']",2019.0
56oDRnqbIiwx4mymNEv7dS,0.0235,0.657,1.0,204190.0,0.697,https://api.spotify.com/v1/tracks/0xUKmfxvqoZ696QwNXeAyT,0xUKmfxvqoZ696QwNXeAyT,0.0,10.0,0.147,-5.15,"

Like my hands in the air
Fingers kiss the sky
Smile on my lips, and I don't know why
I think I'm in love, I think I'm in love
I think I'm in love
With myself
I'm in love with myself, I'm in love with myself
I'm in love with myself, I'm in love

Kissing on my mirror
Staring in my eyes
Appreciating every curve and crevice
Smack my thighs
Smack it twice, watch it jiggle
You a bad batch cookie, cream filling in the middle
I'm a very picky girl
And yes you can call me mama
I got an A in self-esteem
So save the drama for Obama
Presidential in my stature
Statuesque and big as hell
If you in love with what you do, then leave them thirsties by the well
If they talking bout you, let 'em
You they entertainment
Reading you yo rights, just make it rain what they arraignin'
It's raining, it's pouring
Men in they're boring
Hallelujah thanking Jesus he made men so they could please us
All these years been searching for something that would complete me
Who knew that it would be me

I think I'm in love, I think I'm in love
I think I'm in love

Okay, this verse is about my best friend, bad as she can be
The only one that's on her level happens to be me
She'll give you a sprinkle, to them flounders bottom feeding
But ween 'em, as quick as she get that peen
And ditch like a queen can
, after dinner I like that dessert
But he thirsty like he in the desert
What's worse, give it to him or get my own
Think I'm bout to hit him with that scissor
Cut, print, this scene is done
Nice to know, you all so nice to know
Level son, you on level one
I'm like ding, ding, ding, elevation
All my beautiful, big black beauty girls
Brown paper bag,  coke can, 
Light skin, curly hair
Afro, in the air
Love yourself like nobody else can

Like my hands in the air
Fingers kiss the sky
Smile on my lips, and I don't know why
I think I'm in love, I think I'm in love
I think I'm in love
With myself
I'm in love with myself, I'm in love with myself
I'm in love with myself, I'm in love

Oh my god
Bionik, Bionik
Iconic, Iconic
",0.0,En Love,This Is Lizzo,48.0,https://p.scdn.co/mp3-preview/ad7679d736c30ce824d931ad28f8d25530e17587?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.167,141.884,4.0,https://api.spotify.com/v1/tracks/0xUKmfxvqoZ696QwNXeAyT,0xUKmfxvqoZ696QwNXeAyT,0.216,2015-12-11,Lizzo,"['dance pop', 'electropop', 'escape room', 'pop', 'r&b', 'trap queen']",2015.0
